cliente_id,faixa_etaria,dispositivo_principal,conteudo_preferido,tipo_plano,periodo_uso
100,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
117,41-60 anos,Tablet,Filmes,Padrão,Noite
88,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
75,26-40 anos,Smart TV,Séries,Premium,Noite
122,41-60 anos,Tablet,Filmes,Padrão,Noite
158,41-60 anos,Smartphone,Séries,Premium,Noite
21,18-25 anos,Smartphone,Séries,Básico,Noite
72,26-40 anos,Smart TV,Filmes,Padrão,Noite
107,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
15,18-25 anos,Smartphone,Séries,Básico,Noite
93,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
103,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
